Date,Open,High,Low,Close,Volume
2017-10-12,75.6758,75.9834,75.5088,75.9659,1941100
2017-10-13,75.9395,76.2032,75.333,76.0714,3026500
2017-10-16,76.0098,76.2384,75.3946,75.544,3800700
2017-10-17,75.5352,76.0274,75.0781,75.6407,3643700
2017-10-18,75.878,76.0802,75.1661,75.3506,4002200
2017-10-19,75.3154,75.9219,75.1572,75.9043,3233400
2017-10-20,76.045,76.8009,75.878,76.669,3223200
2017-10-23,76.8799,77.5128,76.5723,76.6251,4909800
2017-10-24,76.836,77.6358,73.6103,74.8584,8696100
2017-10-25,75.5088,75.9131,74.4277,74.5772,3916000
2017-10-26,74.4189,74.8057,73.6806,73.9707,3820700
2017-10-27,73.8916,74.542,73.4697,73.707,2892900
2017-10-30,73.6191,73.6191,72.4502,72.6435,4667200
2017-10-31,72.7402,73.039,71.8261,72.0195,3853300
2017-11-01,72.2216,73.6719,72.0722,72.8544,3309300
2017-11-02,72.5556,73.7598,72.3447,73.0654,2716100
2017-11-03,72.6962,73.4697,72.6523,73.3994,1534800
2017-11-06,73.206,73.3291,72.8808,72.8984,1861700
2017-11-07,72.9863,73.3203,72.749,73.1973,2851900
2017-11-08,72.9511,74.1729,72.9511,73.8389,2328700
2017-11-09,73.6719,74.0586,73.5049,73.8213,2098600
2017-11-10,73.54,73.7158,72.5732,73.206,2692500
2017-11-13,73.2412,73.2412,72.5381,72.8281,2478700
2017-11-14,73.1377,73.5092,72.7131,72.9608,2684800
2017-11-15,72.9785,73.5357,72.0144,72.6954,1838100
2017-11-16,72.89,73.9691,72.3859,73.801,2599700
2017-11-17,73.4118,73.8364,73.2349,73.3145,4097800
2017-11-20,73.4915,73.6949,73.2526,73.5711,2205900
2017-11-21,73.9868,74.7651,73.7391,73.8629,3529900
2017-11-22,74.0044,74.5263,73.8364,74.0133,2230900
2017-11-24,74.1813,74.4467,73.9248,74.3229,817600
2017-11-27,74.429,75.4019,74.3229,75.0128,2980900
2017-11-28,75.2428,75.4993,74.9509,75.2251,2659400
2017-11-29,74.9951,75.3931,74.6943,75.1454,2316000
2017-11-30,75.4019,75.6054,74.5794,74.8624,5002100
2017-12-01,75.1631,75.5434,74.4555,75.4638,2736300
2017-12-04,75.6142,76.7552,75.4992,75.6938,4228300
2017-12-05,75.7027,76.5783,75.3666,76.1184,3876800
2017-12-06,76.1007,76.4102,74.7651,75.4638,3130900
2017-12-07,75.3665,75.9503,74.8712,75.9503,4344900
2017-12-08,75.7646,76.4721,75.5965,76.4633,3777100
2017-12-11,76.6049,76.8083,76.1272,76.6579,3336800
